#{"t_start": 1778387410.9525952, "env_id": "None"}
r,l,t
11.731416,1000,2.014941
8.677256,1000,3.553555
7.611675,905,5.369748
-2.426101,158,5.574401
18.568865,1000,6.947264
0.597371,247,7.930762
-2.757026,203,8.190111
0.671099,309,8.596684
1.646743,291,8.974054
11.334427,726,9.91236
6.065034,672,11.313904
-2.126437,69,11.39451
10.632903,556,12.145071
7.730708,519,12.81192
22.778956,1000,14.622969
14.397098,729,15.568017
28.303044,1000,17.901351
20.393564,632,18.749975
18.164421,534,19.440131
41.650954,1000,21.265973
55.110165,1000,22.574441
58.918681,1000,24.408249
4.986302,152,24.621128
1.858168,94,24.758983
75.947023,1000,26.023698
4.330038,84,26.13658
19.282983,295,26.538797
76.762089,843,28.191739
95.07688,1000,29.456454
104.324271,1000,31.277739
112.616482,1000,32.541396
9.504153,113,32.687169
12.76611,153,32.928504
90.588427,676,34.32246
142.456027,1000,35.575709
41.909155,359,36.040438
149.224619,1000,37.882966
150.925691,1000,39.20148
25.62359,215,39.496871
8.13682,67,40.117785
11.009403,112,40.293835
159.670462,894,41.414363
126.161237,771,42.386695
2.14184,38,42.435785
20.059936,162,42.658169
2.554036,53,43.271931
50.124726,308,43.704813
187.71211,959,44.915293
51.997066,270,45.250373
187.734455,855,46.872464
187.604364,890,47.981761
23.369536,133,48.22908
72.762037,419,48.811817
93.477726,456,49.937886
45.778582,290,50.314199
187.530841,776,51.292861
27.962036,141,51.480962
52.227805,234,51.767835
187.466562,753,53.24848
33.686704,160,53.482078
158.943176,694,54.371988
152.287114,647,55.189116
51.689225,221,55.977529
28.085334,113,56.161297
155.093272,588,56.912676
187.626168,645,57.722118
187.571215,650,58.56689
187.624347,675,59.997507
187.538616,661,60.845005
166.651789,583,61.596828
187.558304,672,62.969194
187.39353,628,63.82685
187.635064,588,64.59141
55.941486,225,64.868922
155.654692,532,66.082768
9.417064,70,66.171695
170.280621,690,67.051153
156.783054,602,67.802868
33.101045,119,67.979181
163.047302,483,69.160874
187.594682,579,69.912727
187.543486,583,70.656056
101.544911,348,71.097373
187.612008,542,72.305537
187.562999,560,73.00804
187.502943,615,73.798573
187.58113,533,75.065076
54.100785,170,75.306682
9.910208,59,75.387021
160.225528,506,76.026725
5.082719,51,76.099174
10.869844,63,76.189081
6.664388,48,76.25385
187.418253,529,76.927088
75.381292,263,77.263905
187.524017,572,78.51667
114.849879,356,78.987649
113.974452,402,79.6006
187.301183,576,80.332476
137.710607,443,80.904394
128.095263,345,81.899114
47.562988,154,82.108016
60.909329,158,82.308485
187.530045,554,83.021612
164.832339,494,83.656953
15.778207,96,83.784208
187.557655,484,84.995444
11.45944,74,85.099301
187.368113,561,85.829787
116.559811,309,86.2143
134.675703,411,86.736443
187.501916,566,88.002849
46.795908,165,88.234773
130.473266,374,88.727017
43.11699,137,88.900493
52.387675,160,89.11271
187.553854,449,89.721138
187.421871,518,90.405081
187.44931,518,91.5977
187.628728,590,92.326212
187.467205,551,93.04091
187.539302,651,94.380145
187.570361,578,95.162814
23.429505,96,95.289154
125.532119,456,95.883964
161.881735,517,96.538142
187.493799,503,97.736378
187.61114,449,98.292941
165.293496,405,98.812674
56.252525,193,99.068617
187.539013,577,99.833085
187.557771,530,101.076896
187.443484,507,101.742819
187.523787,509,102.383946
187.485771,532,103.073851
187.273908,499,104.239973
80.078757,235,104.54932
49.591466,144,104.739426
187.534846,522,105.440381
187.594552,506,106.090764
15.937891,90,106.21301
187.584308,463,107.346498
187.432561,390,107.879468
58.030614,160,108.175567
187.611433,463,108.764045
187.578799,447,109.346321
187.420238,465,110.501487
187.473862,435,111.128213
187.382544,392,111.673862
187.489848,427,112.24779
187.573342,401,112.756852
159.357399,343,113.707896
187.590537,383,114.222631
78.319266,175,114.454887
35.191695,105,114.591012
75.207392,161,114.798729
125.842358,340,115.271428
187.455916,424,115.833136
187.456731,371,116.309673
140.933506,314,117.263632
187.599256,393,117.779571
85.231155,221,118.050704
89.66379,189,118.290983
17.421774,84,118.41136
187.435506,373,118.889054
24.189243,88,119.010814
187.316698,414,119.544993
187.589356,436,120.649938
187.531276,412,121.229059
74.554141,156,121.427019
187.604848,406,121.947322
187.482262,377,122.429145
187.425739,414,123.519558
12.798137,70,123.606439
187.560338,386,124.120006
187.500703,437,124.667173
187.581651,395,125.16068
69.771106,167,125.4178
187.445626,408,125.985555
187.386852,441,127.110775
85.3275,194,127.352206
48.097771,137,127.550727
187.472453,442,128.122697
67.016918,163,128.327487
187.460302,437,128.873451
38.830801,134,129.052908
187.489164,466,130.181909
187.610128,416,130.735884
187.51108,394,131.254332
187.512789,416,131.773475
30.651524,116,131.926392
71.8183,212,132.217762
38.363079,111,132.370548
187.546393,414,133.434106
187.579744,368,133.924614
187.592002,378,134.417463
187.474753,436,134.98173
187.415876,454,135.56018
187.517479,429,136.719525
43.836778,118,136.870532
187.506887,449,137.432544
187.403345,411,137.967646
187.482163,397,138.469226
187.582664,381,139.50843
37.759638,119,139.68045
187.536805,455,140.257367
20.716868,70,140.360891
76.538252,172,140.588561
65.878552,170,140.815092
